14:05:59.804 Generated session secret
14:06:00.766 DB not initialized, please visit setup page - http://[your-server-host]:8080 to see instructions on how to initialize Trilium.
14:06:00.769 DB size: 4 KB
14:06:02.137 {
  "appVersion": "0.63.7",
  "dbVersion": 228,
  "nodeVersion": "v18.18.2",
  "syncVersion": 32,
  "buildDate": "2024-05-30T06:59:06+02:00",
  "buildRevision": "95d46b7ce7e0036eeb72b43e1815cc5c00dc214c",
  "dataDirectory": "/home/node/trilium-data",
  "clipperProtocolVersion": "1.0",
  "utcDateTime": "2026-06-05T14:06:00.400Z"
}
16:21:46.814 200 GET /api/health-check with 15 bytes took 1ms
16:22:17.077 200 GET /api/health-check with 15 bytes took 3ms
16:22:47.380 200 GET /api/health-check with 15 bytes took 2ms
16:23:17.646 200 GET /api/health-check with 15 bytes took 2ms
16:23:47.857 200 GET /api/health-check with 15 bytes took 1ms
16:24:18.151 200 GET /api/health-check with 15 bytes took 3ms
16:24:48.416 200 GET /api/health-check with 15 bytes took 1ms
16:25:18.662 200 GET /api/health-check with 15 bytes took 2ms
16:25:48.875 200 GET /api/health-check with 15 bytes took 1ms
16:26:19.146 200 GET /api/health-check with 15 bytes took 1ms
16:26:49.455 200 GET /api/health-check with 15 bytes took 3ms
16:27:19.716 200 GET /api/health-check with 15 bytes took 9ms
16:27:49.985 200 GET /api/health-check with 15 bytes took 3ms
16:28:20.232 200 GET /api/health-check with 15 bytes took 1ms
16:28:50.505 200 GET /api/health-check with 15 bytes took 2ms
16:29:20.750 200 GET /api/health-check with 15 bytes took 2ms
16:29:50.979 200 GET /api/health-check with 15 bytes took 4ms
16:30:21.271 200 GET /api/health-check with 15 bytes took 7ms
16:30:51.560 200 GET /api/health-check with 15 bytes took 4ms
16:31:21.876 200 GET /api/health-check with 15 bytes took 2ms
16:31:52.117 200 GET /api/health-check with 15 bytes took 1ms
16:32:22.389 200 GET /api/health-check with 15 bytes took 3ms
16:32:52.696 200 GET /api/health-check with 15 bytes took 1ms
16:33:22.995 200 GET /api/health-check with 15 bytes took 2ms
16:33:53.291 200 GET /api/health-check with 15 bytes took 2ms
16:34:23.602 200 GET /api/health-check with 15 bytes took 4ms
16:34:53.830 200 GET /api/health-check with 15 bytes took 2ms
16:35:24.122 200 GET /api/health-check with 15 bytes took 2ms
16:35:54.371 200 GET /api/health-check with 15 bytes took 1ms
16:36:24.654 200 GET /api/health-check with 15 bytes took 3ms
16:36:54.930 200 GET /api/health-check with 15 bytes took 3ms
16:37:25.205 200 GET /api/health-check with 15 bytes took 3ms
16:37:55.429 200 GET /api/health-check with 15 bytes took 1ms
16:38:25.695 200 GET /api/health-check with 15 bytes took 3ms
16:38:55.983 200 GET /api/health-check with 15 bytes took 8ms
16:39:26.264 200 GET /api/health-check with 15 bytes took 3ms
16:39:56.529 200 GET /api/health-check with 15 bytes took 4ms
16:40:26.770 200 GET /api/health-check with 15 bytes took 2ms
16:40:57.047 200 GET /api/health-check with 15 bytes took 2ms
16:41:27.295 200 GET /api/health-check with 15 bytes took 3ms
16:41:57.629 200 GET /api/health-check with 15 bytes took 2ms
16:42:27.867 200 GET /api/health-check with 15 bytes took 0ms
16:42:58.176 200 GET /api/health-check with 15 bytes took 4ms
16:43:28.440 200 GET /api/health-check with 15 bytes took 4ms
16:43:58.845 200 GET /api/health-check with 15 bytes took 4ms
16:44:29.131 200 GET /api/health-check with 15 bytes took 4ms
16:44:59.396 200 GET /api/health-check with 15 bytes took 1ms
16:45:29.687 200 GET /api/health-check with 15 bytes took 3ms
16:45:59.948 200 GET /api/health-check with 15 bytes took 2ms
16:46:30.210 200 GET /api/health-check with 15 bytes took 2ms
16:47:05.216 DB not initialized, please visit setup page - http://[your-server-host]:8080 to see instructions on how to initialize Trilium.
16:47:05.234 DB size: 4 KB
16:47:09.739 {
  "appVersion": "0.63.7",
  "dbVersion": 228,
  "nodeVersion": "v18.18.2",
  "syncVersion": 32,
  "buildDate": "2024-05-30T06:59:06+02:00",
  "buildRevision": "95d46b7ce7e0036eeb72b43e1815cc5c00dc214c",
  "dataDirectory": "/home/node/trilium-data",
  "clipperProtocolVersion": "1.0",
  "utcDateTime": "2026-06-05T16:47:04.415Z"
}
16:47:09.741 CPU model: Intel(R) Xeon(R) CPU E5-2680 v4 @ 2.40GHz, logical cores: 2 freq: 2397 Mhz
16:47:09.743 Trusted reverse proxy: false
16:47:09.746 App HTTP server starting up at port 8080
16:47:09.775 Listening on port 8080
16:47:13.078 Slow 200 GET /api/health-check with 15 bytes took 14ms
16:47:43.380 200 GET /api/health-check with 15 bytes took 5ms
16:48:13.672 200 GET /api/health-check with 15 bytes took 4ms
16:48:43.986 200 GET /api/health-check with 15 bytes took 3ms
16:49:14.249 200 GET /api/health-check with 15 bytes took 3ms
16:49:44.529 200 GET /api/health-check with 15 bytes took 3ms
16:50:14.852 200 GET /api/health-check with 15 bytes took 3ms
16:50:45.142 200 GET /api/health-check with 15 bytes took 3ms
16:51:15.408 200 GET /api/health-check with 15 bytes took 3ms
16:51:45.656 200 GET /api/health-check with 15 bytes took 2ms
16:52:15.939 200 GET /api/health-check with 15 bytes took 3ms
16:52:46.188 200 GET /api/health-check with 15 bytes took 1ms
16:53:16.438 200 GET /api/health-check with 15 bytes took 3ms
16:53:46.703 200 GET /api/health-check with 15 bytes took 3ms
16:54:17.072 200 GET /api/health-check with 15 bytes took 3ms
16:54:47.311 200 GET /api/health-check with 15 bytes took 1ms
16:55:17.646 200 GET /api/health-check with 15 bytes took 1ms
16:55:47.921 200 GET /api/health-check with 15 bytes took 4ms
16:56:18.191 200 GET /api/health-check with 15 bytes took 2ms
16:56:48.420 200 GET /api/health-check with 15 bytes took 2ms
16:57:18.713 200 GET /api/health-check with 15 bytes took 3ms
16:57:49.002 200 GET /api/health-check with 15 bytes took 3ms
16:58:19.252 200 GET /api/health-check with 15 bytes took 1ms
16:58:49.547 200 GET /api/health-check with 15 bytes took 3ms
16:59:19.790 200 GET /api/health-check with 15 bytes took 2ms
